类,继承类,静态,属性,属性get/set,函数,类型(属性类型或者函数返回类型),转换类,是否需要删前缀,转换属性,转换属性格式,转换函数,转换函数参数,转换是否实现,错误提示,权重,测试
flash.ui.Keyboard,,1,NUMPAD_1,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_1,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F28,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F28,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_2,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_2,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F29,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F29,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_3,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_3,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_4,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_4,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F31,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F31,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_5,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_5,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F32,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F32,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F30,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F30,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F33,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F33,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_7,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_7,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F34,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F34,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_8,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_8,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_6,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_6,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_9,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_9,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_INSERT,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_INSERT,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_ADD,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_ADD,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_DELETE,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_DELETE,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_F35,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_F35,,,,1,,,
flash.ui.Keyboard,,1,KEYNAME_HOME,,,String,flash.Keyboard,1,flash.Keyboard.KEYNAME_HOME,,,,1,,,
flash.ui.Keyboard,,1,NUMPAD_DIVIDE,,,uint,flash.Keyboard,1,flash.Keyboard.NUMPAD_DIVIDE,,,,1,,,
